,peakBase,scanNumber,absIntensityUnSub,TIC*IT,ftRes,peakNoiseUnSub,integTime,peakRes,massUnSub,retTime,tic,countsUnSub,sumAbsIntensity,absIntensity15N,peakNoise15N,mass15N,counts15N,absIntensity13C,peakNoise13C,mass13C,counts13C,15N/UnSub,13C/UnSub,15N/13C
414,-4777.36,459.0,1120000000.0,258493.0,120000.0,524902.1,0.06,171307.0,138.016,7.07,4310000000.0,9388.417382974845,1287305631.0,4305631.0,523529.8,139.013,36.18662471553673,44793808.0,523521.1,139.0194,376.4752847592963,0.003854390281066788,0.04009997312667463,0.09611952279596005
415,-3770.65,460.0,1090000000.0,246603.0,120000.0,503427.3,0.06,174307.0,138.016,7.08,4110000000.0,9526.698293874806,1298117484.0,4117484.0,503364.9,139.013,35.991642643338864,44183364.0,503364.6,139.0193,386.21468732604563,0.0037779765384697555,0.040540245467242574,0.09319076623555339
416,-3437.24,461.0,1000000000.0,238064.0,120000.0,494857.2,0.06,170007.0,138.016,7.08,3970000000.0,8891.453938631186,1208556928.0,2556928.0,495357.2,139.0129,22.711859643909484,45019464.0,495360.3,139.0193,399.88194774591346,0.0025543471068586463,0.04497374113456569,0.05679641147076909
417,339.65,462.0,877000000.0,212430.0,120000.0,514098.5,0.06,174907.0,138.016,7.09,3540000000.0,7505.954598194705,1113487567.0,3487567.0,512873.3,139.013,29.920245019578914,35520100.0,512865.5,139.0193,304.7357250585193,0.003986201172436506,0.04059919642090732,0.09818423820782168
418,-4403.69,463.0,761000000.0,193657.0,120000.0,459486.2,0.065,173407.0,138.0159,7.09,2970000000.0,7287.269998533145,1011728027.0,2728027.0,459453.6,139.0129,26.125203502595262,30892504.0,459453.4,139.0193,295.8450576271718,0.003585046733255939,0.040597515624743216,0.08830704731771663
419,-2725.34,464.0,677000000.0,199737.0,120000.0,396305.3,0.076,171407.0,138.016,7.1,2620000000.0,7516.427360421373,910235634.0,1235634.0,397099.9,139.013,13.691238904870035,24028290.0,397105.0,139.0193,266.2380881630803,0.0018215088430126862,0.035420828991841,0.05142479424838592
420,-1323.3,465.0,639000000.0,218528.0,120000.0,355363.9,0.085,173707.0,138.016,7.1,2570000000.0,7911.889755824945,921714735.0,2714735.0,355726.1,139.013,33.578739372792725,25927278.0,355728.4,139.0193,320.69416779767937,0.00424408585168558,0.04053319468481923,0.10470642357916841
421,-1349.5,466.0,570000000.0,195041.0,120000.0,353863.4,0.086,171707.0,138.0159,7.1,2270000000.0,7087.480649312701,841283806.0,1283806.0,353081.0,139.013,15.998443416666433,24386562.0,353076.1,139.0193,303.9029625624618,0.0022572821300355663,0.04287884194674061,0.05264326244723014
422,-2750.1,467.0,577000000.0,231854.0,120000.0,318473.7,0.099,174707.0,138.016,7.11,2350000000.0,7971.772865388885,849087216.0,1087216.0,318795.3,139.013,15.005711815701174,22095020.0,318797.3,139.0193,304.9526705527306,0.0018823556653064719,0.03825405912864706,0.049206690954708254
423,-4896.67,468.0,546000000.0,198773.0,120000.0,329418.7,0.092,170307.0,138.016,7.11,2170000000.0,7292.8464595361465,822952480.0,1952480.0,329317.8,139.0131,26.086995601209534,19581446.0,329317.2,139.0193,261.6272772876728,0.003577066341098969,0.03587450781245617,0.09971053428242317
424,-2616.27,469.0,520000000.0,218387.0,120000.0,297307.3,0.101,171307.0,138.016,7.12,2160000000.0,7695.741073293526,806356644.0,1356644.0,297496.9,139.013,20.064859835514252,18679576.0,297498.1,139.0193,276.2711237483534,0.002607268051824819,0.035899222845100005,0.07262742324742813
425,-2373.08,470.0,507000000.0,213665.0,120000.0,296664.5,0.102,170407.0,138.016,7.12,2100000000.0,7519.605480264744,795747077.0,747077.0,297459.8,139.0129,11.050699287769307,17226518.0,297464.8,139.0193,254.80890243148102,0.0014695849824531277,0.033885940306340366,0.043368576145964434
426,-106.33,471.0,477000000.0,198733.0,120000.0,306835.3,0.103,175007.0,138.016,7.13,1930000000.0,6840.151703536067,791249884.0,1249884.0,306715.0,139.0129,17.930292290888936,18191084.0,306714.2,139.0193,260.9620604458483,0.002621329623671905,0.03815150186083476,0.06870842550926905
427,-410.09,472.0,461000000.0,213223.0,120000.0,277132.1,0.112,174907.0,138.016,7.13,1900000000.0,7319.25316482645,775260339.0,1260339.0,278511.7,139.013,19.91116208044402,15987730.0,278520.4,139.0193,252.5704113594552,0.0027203816608133598,0.03450767526025915,0.07883410401587655
428,-1260.04,473.0,465000000.0,228708.0,120000.0,260595.1,0.117,171407.0,138.016,7.13,1950000000.0,7851.260441965333,,0.0,0.0,0.0,0.0,17703492.0,260081.1,139.0193,299.50413467183887,0.0,0.03814726780313847,0.0
429,-519.58,474.0,439000000.0,205889.0,120000.0,275276.7,0.113,172607.0,138.016,7.14,1830000000.0,7016.939682871816,739149534.0,1149534.0,275484.7,139.0129,18.360183342305398,15234339.0,275486.1,139.0193,243.31932391507235,0.0026165513987703457,0.034675989093793845,0.07545715254705293
430,-1268.87,475.0,412000000.0,207291.0,120000.0,264821.3,0.118,172507.0,138.016,7.14,1750000000.0,6845.370821757919,745771961.0,1771961.0,264836.3,139.013,29.43942503350183,15735501.0,264836.4,139.0193,261.4300919360027,0.004300632617290654,0.03819078596955635,0.1126091675808633
431,-1562.76,476.0,416000000.0,214337.0,120000.0,248209.3,0.123,169207.0,138.016,7.15,1740000000.0,7374.4215063657975,712838294.0,1838294.0,248538.6,139.013,32.54421486239965,14283539.0,248540.7,139.0193,252.8663176695004,0.0044131210609953085,0.034289648001706904,0.12870126461419573
432,-1160.92,477.0,389000000.0,212576.0,120000.0,241778.0,0.127,168807.0,138.016,7.15,1680000000.0,7079.221434539123,679573080.0,1573080.0,241472.7,139.013,28.66391107566197,17197242.0,241470.8,139.0193,313.36238087586577,0.004049020268784412,0.04426509098119016,0.09147208734993875
433,-2332.59,478.0,375000000.0,208935.0,120000.0,233199.1,0.131,174607.0,138.016,7.16,1600000000.0,7075.499004927549,659772209.0,1772209.0,233102.3,139.013,33.45192046582123,14406185.0,233101.7,139.0193,271.92943680805416,0.004727853179333995,0.03843254541039097,0.12301691519125169
434,-1214.08,479.0,360000000.0,208390.0,120000.0,223270.6,0.135,173407.0,138.016,7.16,1540000000.0,7094.530135181256,644771651.0,1771651.0,223106.6,139.013,34.9396405126518,14660198.0,223105.6,139.0193,289.1226002395278,0.004924870265810653,0.04075288915974717,0.12084714402715509
435,-858.04,480.0,326000000.0,193945.0,120000.0,211593.9,0.14,169307.0,138.016,7.17,1390000000.0,6779.023402848571,590057234.0,1057234.0,211933.1,139.013,21.949518975563514,14958729.0,211935.3,139.0194,310.55896587307546,0.0032378585632762743,0.045811755973961886,0.07067746028151774
436,-112.54,481.0,337000000.0,225972.0,120000.0,200784.1,0.158,173007.0,138.016,7.17,1430000000.0,7385.046923536276,598040029.0,1040029.0,201204.1,139.013,22.743709496973473,11713286.0,201206.8,139.0193,256.146702795333,0.003079697357709247,0.03468450579223659,0.08879173242821795
437,565.12,482.0,309000000.0,194477.0,120000.0,213197.8,0.149,174407.0,138.016,7.17,1310000000.0,6377.1764999451225,558024860.0,1024860.0,213073.1,139.013,21.1635537287438,11435131.0,213072.4,139.0193,236.13840365997663,0.0033186401111723845,0.037028676195806826,0.08962351485706616
438,-910.56,483.0,317000000.0,218025.0,120000.0,192760.3,0.162,173207.0,138.016,7.18,1340000000.0,7235.929805048032,616179159.0,1179159.0,192584.1,139.013,26.940435892682732,11204478.0,192583.0,139.0193,255.9919785235457,0.0037231477665645905,0.035377896886859925,0.10523937526505268
439,-1239.8,484.0,295000000.0,205836.0,120000.0,190455.5,0.159,172407.0,138.016,7.18,1290000000.0,6815.2403054781835,567845275.0,845275.0,190589.8,139.013,19.514213247508525,11212973.0,190590.7,139.0193,258.86405370251543,0.0028633199084444217,0.03798311462244948,0.07538402094998523
440,161.11,485.0,277000000.0,192114.0,120000.0,188999.5,0.163,174607.0,138.0159,7.19,1180000000.0,6448.694308715103,573927016.0,927016.0,189531.8,139.013,21.520770656955722,11422866.0,189535.1,139.0193,265.1783780418508,0.003337229154725388,0.04112125111644304,0.08115582731846745
441,95.96,486.0,287000000.0,222533.0,120000.0,170948.2,0.181,174607.0,138.016,7.19,1230000000.0,7387.033031058531,543691200.0,691200.0,171521.3,139.013,17.73120889358931,11929080.0,171524.9,139.0193,306.007769134394,0.002400315365998641,0.04142498995845756,0.05794365595274162
442,-2605.06,487.0,268000000.0,203486.0,120000.0,171919.3,0.172,173307.0,138.0159,7.2,1180000000.0,6859.03211564961,551205717.0,1205717.0,171414.8,139.013,30.949222587547872,11619269.0,171411.6,139.0193,298.2574318190835,0.004512185110918774,0.04348389492718331,0.10376681110270206
443,-618.65,488.0,255000000.0,210106.0,120000.0,165849.1,0.184,174207.0,138.0159,7.2,1140000000.0,6765.185943125408,485952533.0,952533.0,166256.9,139.013,25.208849677817888,10036306.0,166259.4,139.0193,265.6075169283662,0.00372626116853956,0.039260933721750706,0.09491015152487821
444,-502.62,489.0,253000000.0,210980.0,120000.0,167696.2,0.186,169207.0,138.016,7.2,1130000000.0,6638.194544658734,466328982.0,328982.0,168092.4,139.0131,8.611458935680615,11270632.0,168094.9,139.0193,295.0165698066985,0.0012972591986791981,0.044442290418269914,0.029189746668544878
445,-1475.36,490.0,235000000.0,193704.0,120000.0,156973.3,0.191,173207.0,138.016,7.21,1010000000.0,6587.107488980611,402873687.0,873687.0,156642.6,139.013,24.54136231140188,9245466.0,156640.5,139.0193,259.7032721422621,0.0037256659850255125,0.0394259957920396,0.09449770158443917
446,-581.09,491.0,235000000.0,215264.0,120000.0,145993.7,0.21,169007.0,138.016,7.21,1020000000.0,7082.497395435556,381799030.0,799030.0,145926.0,139.0131,24.092567465701798,8844460.0,145925.6,139.0194,266.6812677145066,0.003401705093633877,0.03765356382430499,0.09034218140695917
447,-1294.32,492.0,233000000.0,216359.0,120000.0,147043.9,0.207,171407.0,138.016,7.22,1050000000.0,6972.06752541248,343487915.0,487915.0,146866.8,139.013,14.617503751698822,9759448.0,146865.7,139.0193,292.38665801477134,0.0020965809207124718,0.041936865492058356,0.049993744074876174
448,-938.63,493.0,227000000.0,206080.0,120000.0,151040.3,0.2,172307.0,138.016,7.22,1030000000.0,6612.804662067012,338644023.0,644023.0,151045.2,139.0131,18.760617351627197,8747204.0,151045.2,139.0193,254.80914057513908,0.0028370136894022594,0.03853268826112453,0.0736261552834483
