,peakBase,scanNumber,absIntensityUnSub,TIC*IT,ftRes,peakNoiseUnSub,integTime,peakRes,massUnSub,retTime,tic,countsUnSub,sumAbsIntensity,absIntensity15N,peakNoise15N,mass15N,counts15N,absIntensity13C,peakNoise13C,mass13C,counts13C,15N/UnSub,13C/UnSub,15N/13C
1979,-3418.0,2027.0,1270000000.0,261630.0,120000.0,519022.1,0.06,163802.0,153.003,13.94,4360000000.0,10766.40089121446,1278088436.0,6523299.0,518026.7,154.0,55.407405834486916,48753252.0,518020.4,154.0063,414.1039789166604,0.00514632572150459,0.03846261931919842,0.13380070865157712
1980,-750.4,2028.0,1320000000.0,278494.0,120000.0,524326.9,0.06,162802.0,153.003,13.94,4640000000.0,11077.058987437036,1325526312.0,3763380.0,525847.2,154.0,31.4898928814302,49766648.0,525856.8,154.0063,416.41232213789,0.0028428026714621838,0.037592317835461644,0.0756219045578644
1981,-2808.9,2029.0,1310000000.0,267672.0,120000.0,522507.8,0.06,161502.0,153.003,13.95,4460000000.0,11031.4142678827,1315558790.0,3287141.0,522893.1,154.0001,27.660377235805946,51283928.0,522895.5,154.0063,431.5380094110582,0.0025074189550053864,0.03911901039447455,0.06409719800477243
1982,-2689.05,2030.0,1340000000.0,281729.0,120000.0,537448.8,0.06,161707.0,153.003,13.95,4700000000.0,10970.347314944232,1348632484.0,5112824.0,538183.1,154.0,41.80069125173199,54199040.0,538187.7,154.0063,443.10893021152293,0.0038103343542085916,0.04039151336693805,0.09433502329049873
1983,-2005.94,2031.0,1340000000.0,279632.0,120000.0,511384.4,0.06,162307.0,153.003,13.96,4660000000.0,11529.48740712466,1346491432.0,2815286.0,511527.9,154.0,24.216193095234885,61031528.0,511528.8,154.0063,524.9728328101957,0.0021003703148390154,0.0455330592135248,0.04612846909735283
1984,2232.3,2032.0,1430000000.0,298896.0,120000.0,540398.9,0.06,163607.0,153.003,13.96,4980000000.0,11643.25093925987,1440788547.0,5699234.0,542551.0,154.0,46.21985693510841,61887644.0,542564.8,154.0063,501.8859196173434,0.0039696693969945894,0.043105308151096755,0.0920923563074815
1985,-2878.92,2033.0,1520000000.0,315104.0,120000.0,506300.6,0.06,161607.0,153.003,13.97,5250000000.0,13209.543895464476,1530532896.0,3599487.0,506917.9,154.0,31.243210784231533,64774088.0,506921.8,154.0063,562.2287050981039,0.0023651998154878727,0.04256231021656594,0.05557028750209378
1986,1926.42,2034.0,1410000000.0,300656.0,120000.0,544332.7,0.06,163507.0,153.003,13.97,5010000000.0,11397.44130749448,1422091159.0,4879785.0,546015.8,154.0,39.32313680300094,59788456.0,546026.4,154.0063,481.788438068196,0.0034501723450107782,0.04227163141883364,0.08161909605110708
1987,-5245.19,2035.0,1600000000.0,333168.0,120000.0,539830.0,0.06,163207.0,153.003,13.97,5550000000.0,13041.14258192394,1613388873.0,4628252.0,539623.4,154.0,37.73800172490667,67313488.0,539622.1,154.0063,548.8643760142515,0.0028937649816983472,0.042087138651104174,0.06875651504102497
1988,-5411.26,2036.0,1670000000.0,339898.0,120000.0,529008.6,0.06,162402.0,153.003,13.98,5660000000.0,13890.13335510992,1684923014.0,5135257.0,529264.2,153.9999,42.69159108059832,65749792.0,529265.8,154.0063,546.6045317872419,0.0030735191656668212,0.03935200028775507,0.07810325125005628
1989,-4150.73,2037.0,1660000000.0,339145.0,120000.0,553049.6,0.06,163802.0,153.003,13.98,5650000000.0,13206.772050825099,1676196694.0,5567729.0,553403.3,153.9998,44.26791022026793,63025172.0,553405.6,154.0063,501.09857363207027,0.0033519099178744645,0.037942547331296136,0.08834172067065486
1990,-4380.57,2038.0,1680000000.0,348637.0,120000.0,541748.9,0.06,161207.0,153.003,13.99,5810000000.0,13644.697755731484,1699669272.0,6716911.0,540342.1,154.0,54.695735164815034,68568128.0,540333.3,154.0063,558.3586338284166,0.004008570665615512,0.040921290000276986,0.09795807183958224
1991,-1155.11,2039.0,1740000000.0,362209.0,120000.0,528811.2,0.06,165707.0,153.003,13.99,6040000000.0,14477.75690076156,1761297027.0,5210566.0,530004.4,154.0,43.25716994047597,73181408.0,530011.9,154.0063,607.5301237575986,0.0029878364609230695,0.041963000755016217,0.07120168737136622
1992,-1273.82,2040.0,1720000000.0,362081.0,120000.0,552751.5,0.06,162807.0,153.003,14.0,6030000000.0,13691.505133862145,1741307582.0,5650005.0,554809.8,154.0,44.808188319672794,72190656.0,554822.7,154.0063,572.505210042776,0.00327269996114979,0.04181462917665954,0.07826686558245445
1993,-2331.73,2041.0,1910000000.0,399725.0,120000.0,540228.1,0.06,162202.0,153.003,14.0,6660000000.0,15556.391827822361,1938062712.0,8174220.0,540197.7,154.0,66.58037973875122,76104112.0,540197.4,154.0063,619.8809783238497,0.0042799371779562185,0.039847349255834656,0.10740832848070886
1994,4144.27,2042.0,1950000000.0,410334.0,120000.0,587855.6,0.06,160707.0,153.003,14.01,6840000000.0,14595.421052380892,1977406083.0,4919779.0,590051.9,154.0001,36.68665010654148,85073272.0,590065.6,154.0063,634.3742065289013,0.002513572576966317,0.04346391955752577,0.0578312449165918
1995,-3710.0,2043.0,1990000000.0,411177.0,120000.0,544215.8,0.06,166007.0,153.003,14.01,6850000000.0,16089.205789321075,2016124987.0,5739767.0,545053.8,154.0,46.33482933244388,80710008.0,545059.1,154.0063,651.5330818254388,0.002879870513136068,0.04049504309640208,0.07111661805817265
1996,-5282.74,2044.0,1970000000.0,406074.0,120000.0,540126.7,0.06,164207.0,153.003,14.01,6770000000.0,16048.086495261208,2000131869.0,5313781.0,539865.6,154.0,43.30825375797236,82177808.0,539863.9,154.0063,669.765759851696,0.0026986553051518464,0.04173492958487413,0.06466179126201071
1997,4108.78,2045.0,2120000000.0,447972.0,120000.0,579273.8,0.06,160907.0,153.003,14.02,7470000000.0,16102.920587811845,2150456739.0,7267073.0,580251.1,154.0001,55.10566235893393,89379704.0,580257.2,154.0063,677.7523787727237,0.003422091170259071,0.042088786011011466,0.08130648314170354
1998,1426.34,2046.0,2070000000.0,432393.0,120000.0,591685.9,0.06,165307.0,153.003,14.02,7210000000.0,15393.30242616902,2103732613.0,5258555.0,593197.3,154.0,39.00496849867658,89416656.0,593206.8,154.0063,663.2312481920301,0.0025338921706863308,0.04308570245878619,0.058810510821081206
1999,2640.48,2047.0,2090000000.0,427318.0,120000.0,568369.4,0.06,163207.0,153.003,14.03,7120000000.0,16179.61839606425,2128504657.0,5866349.0,569177.2,154.0002,45.34956003156839,90373800.0,569182.1,154.0063,698.62478106743,0.0028028819296875276,0.04317931140065535,0.0649126129798584
2000,-2069.22,2048.0,2150000000.0,451838.0,120000.0,559205.3,0.06,165107.0,153.003,14.03,7530000000.0,16916.86398537353,2182060285.0,5400913.0,560710.6,154.0,42.38196531330067,94835832.0,560720.1,154.0063,744.1817420135288,0.002505308628711828,0.04399052582422812,0.05695109530452601
